Scenario,Road_ID,Road_Name,Road_Type,Status,Is_Blocked,Length
Morning_Peak,9393930243-1847953156,Jalan Gurdwara,Main_Artery,Congested,1,37.5
Morning_Peak,9393930243-9037212751,Unnamed,Small_Alley,Clear,0,6.5
Morning_Peak,9393930243-9037212747,Unnamed,Small_Alley,Congested,1,9.5
Morning_Peak,9123397704-9123397705,Prangin Mall,Small_Alley,Clear,0,5.4
Morning_Peak,9123397704-9123397705,Unnamed,Small_Alley,Clear,0,5.4
Morning_Peak,9123397704-9123427240,Prangin Mall,Small_Alley,Clear,0,1.4
Morning_Peak,9123397704-9123427240,Unnamed,Small_Alley,Clear,0,1.4
Morning_Peak,9123397705-9123397706,Prangin Mall,Small_Alley,Clear,0,5.5
Morning_Peak,9123397705-9123397706,Unnamed,Small_Alley,Clear,0,5.5
Morning_Peak,9123397705-9123397704,Prangin Mall,Small_Alley,Congested,1,5.4
Morning_Peak,9123397705-9123397704,Unnamed,Small_Alley,Congested,1,5.4
Morning_Peak,9123397706-9123397707,Prangin Mall,Small_Alley,Clear,0,5.6
Morning_Peak,9123397706-9123397707,Unnamed,Small_Alley,Clear,0,5.6
Morning_Peak,9123397706-9123397705,Prangin Mall,Small_Alley,Congested,1,5.5
Morning_Peak,9123397706-9123397705,Unnamed,Small_Alley,Congested,1,5.5
Morning_Peak,9123397707-9123397708,Prangin Mall,Small_Alley,Clear,0,5.7
Morning_Peak,9123397707-9123397708,Unnamed,Small_Alley,Clear,0,5.7
Morning_Peak,9123397707-9123397706,Prangin Mall,Small_Alley,Clear,0,5.6
Morning_Peak,9123397707-9123397706,Unnamed,Small_Alley,Clear,0,5.6
Morning_Peak,9123397708-9123397709,Prangin Mall,Small_Alley,Clear,0,5.7
Morning_Peak,9123397708-9123397709,Unnamed,Small_Alley,Clear,0,5.7
Morning_Peak,9123397708-9123397707,Prangin Mall,Small_Alley,Clear,0,5.7
Morning_Peak,9123397708-9123397707,Unnamed,Small_Alley,Clear,0,5.7
Morning_Peak,9123397709-9123397710,Prangin Mall,Small_Alley,Clear,0,5.7
Morning_Peak,9123397709-9123397710,Unnamed,Small_Alley,Clear,0,5.7
Morning_Peak,9123397709-9123397708,Prangin Mall,Small_Alley,Clear,0,5.7
Morning_Peak,9123397709-9123397708,Unnamed,Small_Alley,Clear,0,5.7
Morning_Peak,9123397710-9123397713,Prangin Mall,Small_Alley,Clear,0,5.6
Morning_Peak,9123397710-9123397713,Unnamed,Small_Alley,Clear,0,5.6
Morning_Peak,9123397710-9123397709,Prangin Mall,Small_Alley,Clear,0,5.7
Morning_Peak,9123397710-9123397709,Unnamed,Small_Alley,Clear,0,5.7
Morning_Peak,9123397711-9123397712,Prangin Mall,Small_Alley,Clear,0,5.8
Morning_Peak,9123397711-9123397712,Unnamed,Small_Alley,Clear,0,5.8
Morning_Peak,9123397711-9123397714,Prangin Mall,Small_Alley,Clear,0,5.3
Morning_Peak,9123397711-9123397714,Unnamed,Small_Alley,Clear,0,5.3
Morning_Peak,9123397712-9123427234,Prangin Mall,Small_Alley,Congested,1,3.2
Morning_Peak,9123397712-9123427234,Unnamed,Small_Alley,Congested,1,3.2
Morning_Peak,9123397712-9123397711,Prangin Mall,Small_Alley,Clear,0,5.8
Morning_Peak,9123397712-9123397711,Unnamed,Small_Alley,Clear,0,5.8
Morning_Peak,9123397713-9123397714,Prangin Mall,Small_Alley,Clear,0,5.5
Morning_Peak,9123397713-9123397714,Unnamed,Small_Alley,Clear,0,5.5
Morning_Peak,9123397713-9123397710,Prangin Mall,Small_Alley,Congested,1,5.6
Morning_Peak,9123397713-9123397710,Unnamed,Small_Alley,Congested,1,5.6
Morning_Peak,9123397714-9123397711,Prangin Mall,Small_Alley,Clear,0,5.3
Morning_Peak,9123397714-9123397711,Unnamed,Small_Alley,Clear,0,5.3
Morning_Peak,9123397714-9123397713,Prangin Mall,Small_Alley,Congested,1,5.5
Morning_Peak,9123397714-9123397713,Unnamed,Small_Alley,Congested,1,5.5
Morning_Peak,12281577616-9176020821,Lane 1,Small_Alley,Clear,0,48.3
Morning_Peak,12281577616-11677362829,Unnamed,Small_Alley,Clear,0,76.0
Morning_Peak,9025880321-9025880325,Unnamed,Small_Alley,Congested,1,9.3
Morning_Peak,9025880321-2722798999,Pengkalan Weld,Main_Artery,Congested,1,14.5
Morning_Peak,9025880322-9119710672,Unnamed,Small_Alley,Clear,0,28.6
Morning_Peak,9025880322-9498928701,Unnamed,Small_Alley,Clear,0,56.8
Morning_Peak,9025880325-6168672175,Pengkalan Weld,Main_Artery,Congested,1,14.1
Morning_Peak,9025880325-9498928701,Unnamed,Small_Alley,Clear,0,7.4
Morning_Peak,9025880325-9025880321,Unnamed,Small_Alley,Clear,0,9.3
Morning_Peak,5658116744-5658116746,Unnamed,Small_Alley,Clear,0,36.9
Morning_Peak,5658116744-534130917,Lebuh Queen,Local_Street,Clear,0,33.7
Morning_Peak,5658116745-5658116748,Lebuh King,Local_Street,Clear,0,46.0
Morning_Peak,5658116745-5658116746,Unnamed,Small_Alley,Congested,1,39.9
Morning_Peak,5658116746-5658116745,Unnamed,Small_Alley,Congested,1,39.9
Morning_Peak,5658116746-5658116744,Unnamed,Small_Alley,Congested,1,36.9
Morning_Peak,5658116746-5658116748,Unnamed,Small_Alley,Clear,0,83.2
Morning_Peak,5658116748-534130920,Lebuh King,Local_Street,Clear,0,31.4
Morning_Peak,5658116748-5658116746,Unnamed,Small_Alley,Clear,0,83.2
Morning_Peak,12767986643-6039866013,Unnamed,Small_Alley,Congested,1,26.9
Morning_Peak,9128525180-9128530142,Unnamed,Small_Alley,Congested,1,6.2
Morning_Peak,9128525180-9128530142,Unnamed,Small_Alley,Congested,1,6.2
Morning_Peak,9128525180-9128530143,Unnamed,Small_Alley,Congested,1,2.9
Morning_Peak,9128525180-9128530143,Unnamed,Small_Alley,Congested,1,2.9
Morning_Peak,9882830217-9882825841,Unnamed,Small_Alley,Clear,0,2.6
Morning_Peak,9882830217-9882825904,Unnamed,Small_Alley,Clear,0,34.8
Morning_Peak,9882830217-9882825904,Hui Aun Association,Small_Alley,Clear,0,34.8
Morning_Peak,9882830217-9882825906,Hui Aun Association,Small_Alley,Clear,0,22.4
Morning_Peak,9882830218-9882825847,Unnamed,Small_Alley,Clear,0,4.5
Morning_Peak,9882830218-9882830219,Unnamed,Small_Alley,Clear,0,6.4
Morning_Peak,9882830218-9882825845,Unnamed,Small_Alley,Clear,0,3.9
Morning_Peak,9882830219-9882825842,Unnamed,Small_Alley,Clear,0,4.1
Morning_Peak,9882830219-9882825851,Unnamed,Small_Alley,Congested,1,4.5
Morning_Peak,9882830219-9882830218,Unnamed,Small_Alley,Clear,0,6.4
Morning_Peak,9882830220-9882830224,Unnamed,Small_Alley,Clear,0,9.0
