Time_Period,Road_Type,Max_Speed,Lanes,Road_Length,Angle_Deviation,One_Way,Is_Obstacle,Travel_Time_Base,Node_Degree,Should_Take
Morning_Peak,unclassified,40,1,1.40011843,10.83,0,0,0.13,4,YES
Morning_Peak,unclassified,40,1,7.305166616,98.05,0,0,0.66,3,YES
Morning_Peak,footway,40,1,1.641778213,22.28,0,1,0.12,4,YES
Morning_Peak,unclassified,40,1,1.448133721,12.37,0,0,0.13,4,YES
Morning_Peak,residential,30,1,12.88229621,35.55,1,0,0.93,2,YES
Morning_Peak,residential,30,1,25.88622625,27.88,1,0,1.86,2,YES
Morning_Peak,unclassified,40,1,0.78379181,80.12,0,0,0.07,2,YES
Morning_Peak,footway,40,1,8.419575878,22.74,0,0,0.61,4,YES
Morning_Peak,footway,40,1,94.37045703,24.39,0,0,6.79,4,YES
Morning_Peak,footway,40,1,111.6379032,14.27,0,0,8.04,3,YES
Morning_Peak,unclassified,40,1,7.733637028,84.73,0,0,0.7,2,YES
Morning_Peak,tertiary,50,2,6.902308673,20.68,1,1,0.62,2,YES
Morning_Peak,unclassified,40,1,1.088679496,69.79,0,0,0.1,3,YES
Morning_Peak,unclassified,40,1,1.131059026,12.1,0,0,0.1,3,YES
Morning_Peak,unclassified,40,1,7.178599684,86.9,0,0,0.65,2,YES
Morning_Peak,unclassified,40,1,0.624091324,83.65,0,0,0.06,2,YES
Morning_Peak,residential,30,1,30.10584017,32.2,1,0,2.17,2,YES
Morning_Peak,tertiary,50,2,43.10097193,19.88,1,0,3.88,2,YES
Morning_Peak,footway,40,1,110.0368471,20.88,0,0,7.92,4,YES
Morning_Peak,unclassified,40,1,4.126131375,2.35,0,0,0.37,3,YES
Morning_Peak,residential,30,1,77.24759921,69.17,1,0,5.56,2,YES
Morning_Peak,residential,50,2,18.14083862,6.65,0,1,1.31,3,YES
Morning_Peak,unclassified,40,1,0.526910135,124.05,0,0,0.05,2,YES
Morning_Peak,unclassified,40,1,0.684050777,69.09,0,0,0.06,2,YES
Morning_Peak,unclassified,40,1,6.780193724,77.49,0,0,0.61,2,YES
Morning_Peak,unclassified,40,1,7.171862629,82.66,0,0,0.65,2,YES
Morning_Peak,service,40,1,8.585747232,41.21,0,0,1.55,3,YES
Morning_Peak,service,40,1,16.2594976,40.11,0,0,2.93,3,YES
Morning_Peak,unclassified,40,1,7.262239329,62.49,0,0,0.65,3,YES
Morning_Peak,unclassified,40,1,28.15208487,9.89,0,0,2.53,3,YES
Morning_Peak,residential,30,1,74.47277788,105.1,1,0,5.36,2,YES
Morning_Peak,residential,30,1,3.959961488,26.28,1,0,0.29,1,YES
Morning_Peak,footway,40,1,60.18284352,157.57,0,0,4.33,4,YES
Morning_Peak,unclassified,40,1,133.5646138,1.39,0,0,12.02,3,YES
Morning_Peak,residential,30,1,35.03368514,56.29,1,0,2.52,2,YES
Morning_Peak,unclassified,40,1,7.803452105,113.09,0,0,0.7,3,YES
Morning_Peak,unclassified,40,1,0.712731173,93.7,0,0,0.06,3,YES
Morning_Peak,unclassified,40,1,0.981422783,91.12,0,0,0.09,2,YES
Morning_Peak,unclassified,40,1,0.49303302,110.3,0,0,0.04,3,YES
Morning_Peak,service,40,1,7.702679891,108.67,0,0,1.39,4,YES
Morning_Peak,unclassified,40,1,6.749271749,68.74,0,0,0.61,2,YES
Morning_Peak,unclassified,40,1,8.774709311,76.39,0,0,0.79,3,YES
Morning_Peak,residential,30,1,49.79436631,104.09,1,0,3.59,2,YES
Morning_Peak,unclassified,40,1,7.440555982,95.8,0,0,0.67,3,YES
Morning_Peak,unclassified,40,1,6.63556534,66.24,0,0,0.6,2,YES
Morning_Peak,service,40,1,37.97946963,41.47,0,0,6.84,3,YES
Morning_Peak,unclassified,40,1,1.052488314,95.41,0,0,0.09,3,YES
Morning_Peak,unclassified,40,1,1.187885203,97.98,0,0,0.11,3,YES
Morning_Peak,unclassified,40,1,19.63862249,12.48,0,0,1.77,2,YES
Morning_Peak,residential,30,1,108.724861,96.59,1,0,7.83,2,YES
Morning_Peak,unclassified,40,1,0.995115432,77.36,0,0,0.09,3,YES
Morning_Peak,unclassified,40,1,0.361149198,68.18,0,0,0.03,3,YES
Morning_Peak,unclassified,40,1,7.860205337,80.25,0,0,0.71,2,YES
Morning_Peak,service,40,1,52.1362555,22.24,0,0,9.38,3,YES
Morning_Peak,unclassified,40,1,0.853220772,30.28,0,0,0.08,4,YES
Morning_Peak,unclassified,40,1,7.227367426,78.18,0,0,0.65,2,YES
Morning_Peak,residential,30,1,37.50265663,108.39,1,0,2.7,2,YES
Morning_Peak,residential,30,1,16.38333885,0,0,0,1.18,3,YES
Morning_Peak,unclassified,40,1,7.697994015,111.18,0,0,0.69,2,YES
Morning_Peak,residential,30,1,6.318890827,114.8,1,0,0.45,2,YES
Morning_Peak,unclassified,40,1,7.678132174,91.43,0,0,0.69,3,YES
Morning_Peak,unclassified,40,1,38.38736676,23.31,0,0,3.45,3,YES
Morning_Peak,footway,40,1,13.4897998,160.14,0,0,0.97,3,YES
